,message_body,abusive,asking_exchange,normal,offline_sell,possible_fraud,sharing_contact_details
1606,Is it available?,0,0,1,0,0,0
2049,Is the price negotiable?,0,0,1,0,0,0
1815,"Yes, It's available.",0,0,1,0,0,0
274,Okay..you received payment..,0,0,0,1,0,0
772,COUNTER OFFER MADE : ? 8000| Please access the mobile site through your email to respond to this offer. Download the latest version of the app now to trade with the Quikr guarantee!,0,0,1,0,0,0
12,"9666645759, 9912357431",0,0,0,0,0,1
4012,What's your final price?,0,0,1,0,0,0
7837,What is your best offer?,0,0,1,0,0,0
617,COUNTER OFFER MADE : ? 3000| Please access the mobile site through your email to respond to this offer. Download the latest version of the app now to trade with the Quikr guarantee!,0,0,1,0,0,0
7450,Ok,0,0,1,0,0,0
7174,OFFER MADE : ₹ 6500| Please access the mobile site through your email to respond to this offer. Download the latest version of the app now to trade with the Quikr guarantee!,0,0,1,0,0,0
995,Rs. 2900,0,0,1,0,0,0
7575,i want to speak with&nbsp;,0,0,0,0,0,1
5068,It might be difficult for me to dispose off the center sofa without the sides ... you may pick up the whole set and sell of the one you do not need and keep the money&nbsp;,0,0,1,0,0,0
5720,hi Thiyaga,0,0,1,0,0,0
8210,If COD available I'll purchase this item,0,0,0,1,0,0
8155,Send me your current location ,0,0,0,1,0,0
4773,are you still interested?,0,0,1,0,0,0
6517,It is new,0,0,1,0,0,0
3308,2500,0,0,1,0,0,0
7921,OFFER MADE : ₹ 2600| Please access the mobile site through your email to respond to this offer. Download the latest version of the app now to trade with the Quikr guarantee!,0,0,1,0,0,0
6457,9840627895,0,0,0,0,0,1
7083,Drop your WhatsApp number,0,0,0,0,0,1
4315,Offer Made: 1500| Please access the mobile site through your email to complete this transaction.,0,0,1,0,0,0
5292,Food processor image I will share&nbsp;,0,0,1,0,0,0
6731,"Sorry sir I can't sell that cheap.
 I had to spend lot of money to buy that.
 Already asking half the price",0,0,1,0,0,0
808,okay,0,0,1,0,0,0
6030,How old ur product is,0,0,1,0,0,0
3375,Is the price negotiable?,0,0,1,0,0,0
5896,It is available...&nbsp;&nbsp;,0,0,1,0,0,0
8213,If COD available I'll purchase this item,0,0,0,1,0,0
5042,yes it is available,0,0,1,0,0,0
2134,Storage?,0,0,1,0,0,0
7081,Give me your whatspp number sir so we can talk better on whatspp sir,0,0,0,0,0,1
7085,"Yes, It's available.",0,0,1,0,0,0
1041,Is it available?,0,0,1,0,0,0
8092,is exchange offer available for this item,0,1,0,0,0,0
4135,Is it available?,0,0,1,0,0,0
701,COUNTER OFFER MADE : ? 6499| Please access the mobile site through your email to respond to this offer. Download the latest version of the app now to trade with the Quikr guarantee!,0,0,1,0,0,0
5268,Hi. Do you want to buy the laptop for 12000?,0,0,1,0,0,0
5259,I m interested&nbsp;,0,0,1,0,0,0
6253,OFFER ACCEPTED : ₹ 3500| Please access the mobile site through your email to respond to this offer. Download the latest version of the app now to trade with the Quikr guarantee!,0,0,1,0,0,0
7861,OFFER MADE : ₹ 600| Please access the mobile site through your email to respond to this offer. Download the latest version of the app now to trade with the Quikr guarantee!,0,0,1,0,0,0
2572,What is phone condition,0,0,1,0,0,0
7015,Is it available?,0,0,1,0,0,0
1562,OFFER MADE : ? 2200| Please access the mobile site through your email to respond to this offer. Download the latest version of the app now to trade with the Quikr guarantee!,0,0,1,0,0,0
6094,Bill or Invoice available?,0,0,1,0,0,0
2694,How old is it?,0,0,1,0,0,0
5542,Let me try to show,0,0,1,0,0,0
6576,Kya,0,0,1,0,0,0
4317,It's in good condition.,0,0,1,0,0,0
6741,9167281182,0,0,0,0,0,1
3309,How old is it?,0,0,1,0,0,0
7690,shop sathi stock bhetel ka,0,0,1,0,0,0
4921,"Hi Good Evening
Welcome to Quikr-Assured Mobiles and Accessories we are glad to assist you on this",0,0,1,0,0,0
4271,Offer Made: 12000| Please access the mobile site through your email to complete this transaction.,0,0,1,0,0,0
6706,http://teja7.kuikr.com/o1/20190318/ak_730602946-1552923578_sm.jpg,0,0,1,0,0,0
4037,No invertor,0,0,1,0,0,0
2242,So I will send you phone cost + any amount you spend on courier,0,0,0,1,0,0
1155,correct price?,0,0,1,0,0,0
1523,Bill or Invoice available?,0,0,1,0,0,0
6520,"9819010894
 Pls whatsapp",0,0,0,0,0,1
6688,OFFER ACCEPTED : ₹ 4300| Please access the mobile site through your email to respond to this offer. Download the latest version of the app now to trade with the Quikr guarantee!,0,0,1,0,0,0
3765,OFFER MADE : ? 8000| Please access the mobile site through your email to respond to this offer. Download the latest version of the app now to trade with the Quikr guarantee!,0,0,1,0,0,0
361,Contact or whatsapp 9007150871 for more info and details of the product or just visit store. Thank you!Contact or whatsapp 9007150871 for more info and details of the product or just visit store. Thank you!,0,0,0,0,0,1
6588,9983930521k,0,0,0,0,0,1
893,Is it available?,0,0,1,0,0,0
174,Only whatsapp chatting,0,0,0,0,0,1
2903,OFFER MADE : ? 5000| Please access the mobile site through your email to respond to this offer. Download the latest version of the app now to trade with the Quikr guarantee!,0,0,1,0,0,0
2956,Balance 200,0,0,1,0,0,0
4133,Sorry its too less last price 7000 because i m getting one more buyer at this price,0,0,1,0,0,0
3727,"In office, will share once I reach home",0,0,1,0,0,0
1595,Bill or Invoice available?,0,0,1,0,0,0
1237,This is used one,0,0,1,0,0,0
2846,OFFER MADE : ? 500| Please access the mobile site through your email to respond to this offer. Download the latest version of the app now to trade with the Quikr guarantee!,0,0,1,0,0,0
6434,Is it available?,0,0,1,0,0,0
3577,http://teja7.kuikr.com/o1/20191022/ak_1804320941-1571767108_sm.jpg,0,0,1,0,0,0
1295,1800,0,0,1,0,0,0
7494,What's your final price?,0,0,1,0,0,0
1137,OFFER MADE : ? 1300| Please access the mobile site through your email to respond to this offer. Download the latest version of the app now to trade with the Quikr guarantee!,0,0,1,0,0,0
6862,"Yes, It's available.",0,0,1,0,0,0
8010,sniggered,1,0,0,0,0,0
819,Hi,0,0,1,0,0,0
8067,Transfer money in my bank account ,0,0,0,0,1,0
8220,share your details,0,0,0,1,0,0
7874,OFFER MADE : ₹ 2000| Please access the mobile site through your email to respond to this offer. Download the latest version of the app now to trade with the Quikr guarantee!,0,0,1,0,0,0
6616,How old is it?,0,0,1,0,0,0
4649,How old is the product?,0,0,1,0,0,0
1317,OFFER MADE : ? 15000| Please access the mobile site through your email to respond to this offer. Download the latest version of the app now to trade with the Quikr guarantee!,0,0,1,0,0,0
2812,It's almost in a new condition. Else I could have reduce the price . I was planning to sell for 12 k .,0,0,1,0,0,0
5004,9008982545,0,0,0,0,0,1
3492,Sorry 1850,0,0,1,0,0,0
6408,Working fine,0,0,1,0,0,0
5648,Yes kindly share your whatsapp number to discuss full details&nbsp;,0,0,0,0,0,1
3648,OFFER MADE : ? 7500| Please access the mobile site through your email to respond to this offer. Download the latest version of the app now to trade with the Quikr guarantee!,0,0,1,0,0,0
5576,OFFER MADE : ₹ 700| Please access the mobile site through your email to respond to this offer. Download the latest version of the app now to trade with the Quikr guarantee!,0,0,1,0,0,0
5943,Please&nbsp; let us know the size of table,0,0,1,0,0,0
4534,Could you please send me few pic of cot and mattress on my whatsapp 8861822266,0,0,1,0,0,0
1568,Ok,0,0,1,0,0,0
2248,?,0,0,1,0,0,0
148,8149948609,0,0,0,0,0,1
360,Contact or whatsapp 9007150871 for more info and details of the product or just visit store. Thank you!Contact or whatsapp 9007150871 for more info and details of the product or just visit store. Thank you!Contact or whatsapp 9007150871 for more info and details of the product or just visit store. Thank you!Contact or whatsapp 9007150871 for more info and details of the product or just visit store. Thank you!,0,0,0,0,0,1
5630,yes available&nbsp;,0,0,1,0,0,0
6375,Share ur contact,0,0,0,0,0,1
6466,6000,0,0,1,0,0,0
3286,OFFER MADE : ? 6000| Please access the mobile site through your email to respond to this offer. Download the latest version of the app now to trade with the Quikr guarantee!,0,0,1,0,0,0
1960,Please share some more pictures.,0,0,1,0,0,0
2512,Tell me total cost of phone + Courier,0,0,0,1,0,0
4906,7032297906,0,0,0,0,0,1
5686,Great. Thanks. It's ready to be picked up today morning.,0,0,1,0,0,0
3310,Hai,0,0,1,0,0,0
7383,Please share some more pictures.,0,0,1,0,0,0
6137,Malli tmw no need,0,0,1,0,0,0
5343,OFFER MADE : ₹ 5500| Please access the mobile site through your email to respond to this offer. Download the latest version of the app now to trade with the Quikr guarantee!,0,0,1,0,0,0
1067,http://teja7.kuikr.com/o1/20191022/ak_1885532562-1571728846.jpg,0,0,1,0,0,0
